pc_elapsed_s,pc_unix_s,frame_index,roll_deg,pitch_deg,yaw_deg,altitude_m,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,fc_time_s,imu_irq_hz,imu_poll_hz,imu_age_ms,roll_acc_deg,pitch_acc_deg,roll_gyro_deg,pitch_gyro_deg,roll_residual_deg,pitch_residual_deg,attitude_cf_alpha,attitude_dt_ms,coax_roll_rate_kd,coax_pitch_rate_kd,coax_yaw_angle_kp,coax_yaw_rate_kd,coax_vel_x_kd,coax_vel_y_kd,coax_vel_z_kd,coax_accel_xy_limit_m_s2,coax_accel_z_limit_m_s2,nav_acc_x_m_s2,nav_acc_y_m_s2,nav_acc_z_m_s2,vel_est_x_m_s,vel_est_y_m_s,vel_ref_x_m_s,vel_ref_y_m_s,vel_err_x_m_s,vel_err_y_m_s,vel_pid_out_x_m_s2,vel_pid_out_y_m_s2,vel_pid_p_x_m_s2,vel_pid_i_x_m_s2,vel_pid_d_x_m_s2,vel_pid_p_y_m_s2,vel_pid_i_y_m_s2,vel_pid_d_y_m_s2,servo_alpha_us,servo_beta_us,motor_upper_us,motor_lower_us,vel_loop_x_kp,vel_loop_y_kp,vel_loop_output_limit_m_s2,vel_loop_x_ki,vel_loop_y_ki,vel_loop_i_limit_m_s2,vel_loop_x_kd,vel_loop_y_kd,vel_loop_enable,flow_raw_vx_m_s,flow_raw_vy_m_s
0.134349,1783676942.661376,1,-3.01264882,-2.80241728,6.02291393,0,0.0487768054,0.00453020027,0.994030297,0.00711237313,0.00100934203,-0.018184064,66.4250031,991.72229,0,0.588,0.261118352,2.80920672,0.276738226,2.80976415,-0.015619874,-0.000557422638,0.995984197,1.00800002,-2.41000009,-2.5999999,-3,-0.200000003,0,0,3.0999999,3,2.5,9.86248269e-05,1.61781918e-06,-3.06701659e-05,-1.68711467e-05,1.69721916e-05,0,0,0.30779016,-0.465418607,1.49586022,-2.21955037,1.49586022,0,-0,-2.2340095,0.0144590661,0,1515,1875,1510,1316,4.86000013,-4.80000019,21.6700001,0,0.0199999996,0.540000021,0,0,1,-0.000212132014,0.000212132014
0.197654,1783676942.724681,2,-3.01301742,-2.80650115,6.02208519,0,0.0485175215,0.00490710279,0.993741214,0.00158195943,-0.0142654739,-0.0216466449,66.4750061,991.72229,0,0.168000013,0.282924771,2.79510379,0.276280165,2.80572081,0.00664460659,-0.0106170177,0.995984197,1.00800002,-2.41000009,-2.5999999,-3,-0.200000003,0,0,3.0999999,3,2.5,0.000218167319,-5.21175571e-05,0.000175266279,1.71904721e-05,1.69180257e-05,0,0,0.30779016,-0.465418607,1.49586022,-2.21955037,1.49586022,0,-0,-2.2340095,0.0144590661,0,1515,1875,1510,1316,4.86000013,-4.80000019,21.6700001,0,0.0199999996,0.540000021,0,0,1,0.000212132014,0.000212132014
0.259439,1783676942.786466,3,-3.01209235,-2.81389093,6.02173424,0,0.0481499657,0.00506422622,0.994826913,-0.0272737145,-0.00918515772,-0.0357066467,66.5250015,991.72229,0,0.761000037,0.291665107,2.77093744,0.277173787,2.79839873,0.0144913197,-0.0274612904,0.995984197,1.00800002,-2.41000009,-2.5999999,-3,-0.200000003,0,0,3.0999999,3,2.5,-0.000101770165,-7.41436379e-05,-2.76374831e-05,-1.02584323e-07,-3.40158549e-05,0,0,0.30779016,-0.465418607,1.49586022,-2.21955037,1.49586022,0,-0,-2.2340095,0.0144590661,0,1515,1875,1510,1316,4.86000013,-4.80000019,21.6700001,0,0.0199999996,0.540000021,0,0,1,-0,-0.000424264028
0.320718,1783676942.847745,4,-3.0083971,-2.81518888,6.0208559,0,0.0488829203,0.00472136308,0.994406283,-0.0430731401,-0.116335206,-0.0139010372,66.5750046,991.69458,0,0.330000013,0.272033811,2.81424284,0.280962139,2.79692245,-0.00892832875,0.0173203945,0.996083379,0.98300004,-2.41000009,-2.5999999,-3,-0.200000003,0,0,3.0999999,3,2.5,-3.54713229e-05,9.02344327e-05,-4.96101384e-05,-3.48683109e-08,8.87004532e-08,0,0,0.30779016,-0.465418607,1.49586022,-2.21955037,1.49586022,0,-0,-2.2340095,0.0144590661,0,1515,1875,1510,1316,4.86000013,-4.80000019,21.6700001,0,0.0199999996,0.540000021,0,0,1,-0,-0
0.352413,1783676942.879441,5,-3.00988722,-2.82034945,6.02041531,0,0.0483007506,0.00493792631,0.994963467,-0.0304698534,-0.00901751034,0.00373549201,66.625,991.69458,0,0.088000007,0.284352154,2.77922201,0.279417366,2.79188061,0.00493478775,-0.012658596,0.995984197,1.00800002,-2.41000009,-2.5999999,-3,-0.200000003,0,0,3.0999999,3,2.5,0,0,0,1.697056e-05,-1.697056e-05,0,0,0.30779016,-0.465418607,1.49586022,-2.21955037,1.49586022,0,-0,-2.2340095,0.0144590661,0,1515,1875,1510,1316,4.86000013,-4.80000019,21.6700001,0,0.0199999996,0.540000021,0,0,1,0.000212132014,-0.000212132014
0.415392,1783676942.942420,6,-3.00908327,-2.8188684,6.01932144,0,0.0489790738,0.00485497061,0.994163513,-0.0291917864,-0.0179032162,-0.0097067114,66.6750031,991.69458,0,0.526000023,0.279800177,2.82045507,0.280242652,2.79320145,-0.00044247508,0.0272536278,0.995984197,1.00800002,-2.41000009,-2.5999999,-3,-0.200000003,0,0,3.0999999,3,2.5,2.91520373e-05,-3.05577378e-05,0.000109462744,2.93852533e-08,-3.08021981e-08,0,0,0.30779016,-0.465418607,1.49586022,-2.21955037,1.49586022,0,-0,-2.2340095,0.0144590661,0,1515,1875,1510,1316,4.86000013,-4.80000019,21.6700001,0,0.0199999996,0.540000021,0,0,1,-0,-0
0.523908,1783676943.050935,7,-3.01061678,-2.81740046,6.01877975,0,0.0477097146,0.0041848328,0.994703889,-0.0289137959,-0.0023672164,-0.00338258967,66.7250061,991.69458,0,0.0980000049,0.241048485,2.74599099,0.278859347,2.79497552,-0.0378108621,-0.0489845276,0.995984197,1.00800002,-2.41000009,-2.5999999,-3,-0.200000003,0,0,3.0999999,3,2.5,1.53779984e-05,-7.70308106e-05,-6.29425085e-06,-1.69550585e-05,-1.70482072e-05,0,0,0.30779016,-0.465418607,1.49586022,-2.21955037,1.49586022,0,-0,-2.2340095,0.0144590661,0,1515,1875,1510,1316,4.86000013,-4.80000019,21.6700001,0,0.0199999996,0.540000021,0,0,1,-0.000212132014,-0.000212132014
0.554626,1783676943.081654,8,-3.00816727,-2.83171725,6.01846886,0,0.0483372323,0.00543962093,0.994426489,0.00348426774,0.0076649338,0.00934126414,66.7750015,991.69458,0,0.697000027,0.313411027,2.78280997,0.281026781,2.78045249,0.0323842466,0.00235748291,0.995980263,1.00899994,-2.41000009,-2.5999999,-3,-0.200000003,0,0,3.0999999,3,2.5,3.56698038e-05,2.16087701e-05,-0.000105457308,1.70065505e-05,-1.69487575e-05,0,0,0.30779016,-0.465418607,1.49586022,-2.21955037,1.49586022,0,-0,-2.2340095,0.0144590661,0,1515,1875,1510,1316,4.86000013,-4.80000019,21.6700001,0,0.0199999996,0.540000021,0,0,1,0.000212132014,-0.000212132014
0.617410,1783676943.144438,9,-3.00851226,-2.83272767,6.0179615,0,0.0478292517,0.00524576381,0.994601429,-0.00249571307,-0.0327961966,0.0297740679,66.8250046,991.710449,0,0.254000008,0.302188724,2.75312972,0.280725867,2.7795577,0.0214628577,-0.0264279842,0.995984197,1.00800002,-2.41000009,-2.5999999,-3,-0.200000003,0,0,3.0999999,3,2.5,-9.12469695e-05,2.65350955e-05,1.51062013e-05,-9.19769434e-08,2.67473759e-08,0,0,0.30779016,-0.465418607,1.49586022,-2.21955037,1.49586022,0,-0,-2.2340095,0.0144590661,0,1515,1875,1510,1316,4.86000013,-4.80000019,21.6700001,0,0.0199999996,0.540000021,0,0,1,-0,-0
0.679005,1783676943.206032,10,-3.00684333,-2.83910203,6.01724148,0,0.0482492521,0.00419321656,0.993966699,-0.00430366909,0.0069244625,0.0155921103,66.875,991.710449,0,0.869000018,0.241710499,2.7790525,0.282645315,2.77305317,-0.040934816,0.00599932671,0.995984197,1.00800002,-2.41000009,-2.5999999,-3,-0.200000003,0,0,3.0999999,3,2.5,0,0,0,1.697056e-05,-1.697056e-05,0,0,0.30779016,-0.465418607,1.49586022,-2.21955037,1.49586022,0,-0,-2.2340095,0.0144590661,0,1515,1875,1510,1316,4.86000013,-4.80000019,21.6700001,0,0.0199999996,0.540000021,0,0,1,0.000212132014,-0.000212132014
